Journal number,Voucher,Date,Year closed,Ledger account,Account name,Description,Currency,Amount in transaction currency,Amount,Amount in reporting currency,Posting type,Posting layer,Created by,Created date and time
GJT-054072,IC_000001350,2020-08-14 00:00:00,No,251011,Intercompany Pay - CLI/CLFL,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,-18.81,-18.81,-18.81,Intercompany accounting,Current,cserieka,2020-09-02 18:19:32
GJT-054072,IC_000001350,2020-08-14 00:00:00,No,651500,Transportation,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,18.81,18.81,18.81,Ledger journal,Current,cserieka,2020-09-02 18:19:32
GJT-054071,IC_000001349,2020-08-14 00:00:00,No,251011,Intercompany Pay - CLI/CLFL,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,-6.53,-6.53,-6.53,Intercompany accounting,Current,cserieka,2020-09-02 18:19:32
GJT-054071,IC_000001349,2020-08-14 00:00:00,No,652000,Business Meals 100% deductible,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,6.53,6.53,6.53,Ledger journal,Current,cserieka,2020-09-02 18:19:32
GJT-054070,IC_000001348,2020-08-14 00:00:00,No,251011,Intercompany Pay - CLI/CLFL,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,-16.62,-16.62,-16.62,Intercompany accounting,Current,cserieka,2020-09-02 18:19:32
GJT-054070,IC_000001348,2020-08-14 00:00:00,No,652000,Business Meals 100% deductible,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,16.62,16.62,16.62,Ledger journal,Current,cserieka,2020-09-02 18:19:32
GJT-054069,IC_000001347,2020-08-14 00:00:00,No,251011,Intercompany Pay - CLI/CLFL,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,-208.98,-208.98,-208.98,Intercompany accounting,Current,cserieka,2020-09-02 18:19:32
GJT-054069,IC_000001347,2020-08-14 00:00:00,No,651000,Travel Airfare,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,208.98,208.98,208.98,Ledger journal,Current,cserieka,2020-09-02 18:19:32
GJT-054068,IC_000001346,2020-08-14 00:00:00,No,251011,Intercompany Pay - CLI/CLFL,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,-168.27,-168.27,-168.27,Intercompany accounting,Current,cserieka,2020-09-02 18:19:32
GJT-054068,IC_000001346,2020-08-14 00:00:00,No,651510,Lodging,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,168.27,168.27,168.27,Ledger journal,Current,cserieka,2020-09-02 18:19:32
GJT-054067,IC_000001345,2020-08-14 00:00:00,No,251011,Intercompany Pay - CLI/CLFL,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,-87.0,-87.0,-87.0,Intercompany accounting,Current,cserieka,2020-09-02 18:19:32
GJT-054067,IC_000001345,2020-08-14 00:00:00,No,651500,Transportation,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,87.0,87.0,87.0,Ledger journal,Current,cserieka,2020-09-02 18:19:32
GJT-054066,IC_000001344,2020-08-14 00:00:00,No,251011,Intercompany Pay - CLI/CLFL,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,-8.18,-8.18,-8.18,Intercompany accounting,Current,cserieka,2020-09-02 18:19:32
GJT-054066,IC_000001344,2020-08-14 00:00:00,No,651500,Transportation,08/14/20 Expensify neil.davidson@curaleaf.com 62057364,USD,8.18,8.18,8.18,Ledger journal,Current,cserieka,2020-09-02 18:19:32
GJT-049765,FA_000016789,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001531,USD,-1844.0,-1844.0,-1844.0,Ledger journal,Current,ahooda,2020-08-24 18:33:57
GJT-049765,FA_000016789,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001531,USD,1844.0,1844.0,1844.0,"Fixed assets, debit",Current,ahooda,2020-08-24 18:33:57
GJT-049764,FA_000016788,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001530,USD,-2470.0,-2470.0,-2470.0,Ledger journal,Current,ahooda,2020-08-24 18:33:57
GJT-049764,FA_000016788,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001530,USD,2470.0,2470.0,2470.0,"Fixed assets, debit",Current,ahooda,2020-08-24 18:33:57
GJT-049763,FA_000016787,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001529,USD,-1573.0,-1573.0,-1573.0,Ledger journal,Current,ahooda,2020-08-24 18:33:57
GJT-049763,FA_000016787,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001529,USD,1573.0,1573.0,1573.0,"Fixed assets, debit",Current,ahooda,2020-08-24 18:33:57
GJT-049762,FA_000016786,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001528,USD,-1543.0,-1543.0,-1543.0,Ledger journal,Current,ahooda,2020-08-24 18:33:57
GJT-049762,FA_000016786,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001528,USD,1543.0,1543.0,1543.0,"Fixed assets, debit",Current,ahooda,2020-08-24 18:33:57
GJT-049761,FA_000016785,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001527,USD,-1228.0,-1228.0,-1228.0,Ledger journal,Current,ahooda,2020-08-24 18:33:57
GJT-049761,FA_000016785,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001527,USD,1228.0,1228.0,1228.0,"Fixed assets, debit",Current,ahooda,2020-08-24 18:33:57
GJT-049760,FA_000016784,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001526,USD,-2235.0,-2235.0,-2235.0,Ledger journal,Current,ahooda,2020-08-24 18:33:57
GJT-049760,FA_000016784,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001526,USD,2235.0,2235.0,2235.0,"Fixed assets, debit",Current,ahooda,2020-08-24 18:33:57
GJT-049759,FA_000016783,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001525,USD,-82674.15,-82674.15,-82674.15,Ledger journal,Current,ahooda,2020-08-24 18:33:57
GJT-049759,FA_000016783,2020-08-14 00:00:00,No,154000,Leasehold Improvements,8/14/2020 LHI-CLFL001525,USD,82674.15,82674.15,82674.15,"Fixed assets, debit",Current,ahooda,2020-08-24 18:33:57
GJT-049685,FA_000016778,2020-08-14 00:00:00,No,153000,Real Estate Improvements,8/14/2020 REI-CLFL000109,USD,-1595.0,-1595.0,-1595.0,Ledger journal,Current,ahooda,2020-08-24 16:05:29
GJT-049685,FA_000016778,2020-08-14 00:00:00,No,153000,Real Estate Improvements,8/14/2020 REI-CLFL000109,USD,1595.0,1595.0,1595.0,"Fixed assets, debit",Current,ahooda,2020-08-24 16:05:29
GJT-049684,FA_000016777,2020-08-14 00:00:00,No,153000,Real Estate Improvements,8/14/2020 REI-CLFL000108,USD,-1697.0,-1697.0,-1697.0,Ledger journal,Current,ahooda,2020-08-24 16:05:29
GJT-049684,FA_000016777,2020-08-14 00:00:00,No,153000,Real Estate Improvements,8/14/2020 REI-CLFL000108,USD,1697.0,1697.0,1697.0,"Fixed assets, debit",Current,ahooda,2020-08-24 16:05:29
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,155000,Production Equipment,To record Debit Card Trxns for Aug 2020 - Shingle,USD,5898.75,5898.75,5898.75,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,130000,Prepaid Expenses,To record Debit Card Trxns for Aug 2020 - Gaffer Power - (To be Expensed Sept 2020 - 510950-0794-101-V0001524-),USD,2156.7,2156.7,2156.7,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,130000,Prepaid Expenses,To record Debit Card Trxns for Aug 2020 - Seedworld - (To be Expensed Sept - Nov 2020 - 510200-0794-101-V0001524-),USD,1588.22,1588.22,1588.22,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,100062,Guardians - Debit Card,To record Debit Card Trxns for Aug 2020 -,USD,-16862.39,-16862.39,-16862.39,Bank,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,531000,Repairs/Maintenance,To record Debit Card Trxns for Aug 2020 - Amazon,USD,42.76,42.76,42.76,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510200,Nutrients & Fertilizer,To record Debit Card Trxns for Aug 2020 - Seedworld,USD,529.41,529.41,529.41,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510700,Pest Control,To record Debit Card Trxns for Aug 2020 - Amazon,USD,192.8,192.8,192.8,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,652500,Entertainment 50% deductible,To record Debit Card Trxns for Aug 2020 - Uber Eats,USD,23.7,23.7,23.7,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Hanna Instruments,USD,1594.3,1594.3,1594.3,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Horticulture,USD,661.84,661.84,661.84,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,79.96,79.96,79.96,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - DIY Lettering,USD,279.74,279.74,279.74,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Gaffer Power,USD,2156.7,2156.7,2156.7,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Home Depot,USD,122.89,122.89,122.89,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,110.08,110.08,110.08,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
