Journal number,Date,Ledger account,Amount,Created date and time
GJT-054072,2020-08-14 00:00:00,251011,-18.81,2020-09-02 18:19:32
GJT-054072,2020-08-14 00:00:00,651500,18.81,2020-09-02 18:19:32
GJT-054071,2020-08-14 00:00:00,251011,-6.53,2020-09-02 18:19:32
GJT-054071,2020-08-14 00:00:00,652000,6.53,2020-09-02 18:19:32
GJT-054070,2020-08-14 00:00:00,251011,-16.62,2020-09-02 18:19:32
GJT-054070,2020-08-14 00:00:00,652000,16.62,2020-09-02 18:19:32
GJT-054069,2020-08-14 00:00:00,251011,-208.98,2020-09-02 18:19:32
GJT-054069,2020-08-14 00:00:00,651000,208.98,2020-09-02 18:19:32
GJT-054068,2020-08-14 00:00:00,251011,-168.27,2020-09-02 18:19:32
GJT-054068,2020-08-14 00:00:00,651510,168.27,2020-09-02 18:19:32
GJT-054067,2020-08-14 00:00:00,251011,-87.0,2020-09-02 18:19:32
GJT-054067,2020-08-14 00:00:00,651500,87.0,2020-09-02 18:19:32
GJT-054066,2020-08-14 00:00:00,251011,-8.18,2020-09-02 18:19:32
GJT-054066,2020-08-14 00:00:00,651500,8.18,2020-09-02 18:19:32
GJT-049765,2020-08-14 00:00:00,154000,-1844.0,2020-08-24 18:33:57
GJT-049765,2020-08-14 00:00:00,154000,1844.0,2020-08-24 18:33:57
GJT-049764,2020-08-14 00:00:00,154000,-2470.0,2020-08-24 18:33:57
GJT-049764,2020-08-14 00:00:00,154000,2470.0,2020-08-24 18:33:57
GJT-049763,2020-08-14 00:00:00,154000,-1573.0,2020-08-24 18:33:57
GJT-049763,2020-08-14 00:00:00,154000,1573.0,2020-08-24 18:33:57
GJT-049762,2020-08-14 00:00:00,154000,-1543.0,2020-08-24 18:33:57
GJT-049762,2020-08-14 00:00:00,154000,1543.0,2020-08-24 18:33:57
GJT-049761,2020-08-14 00:00:00,154000,-1228.0,2020-08-24 18:33:57
GJT-049761,2020-08-14 00:00:00,154000,1228.0,2020-08-24 18:33:57
GJT-049760,2020-08-14 00:00:00,154000,-2235.0,2020-08-24 18:33:57
GJT-049760,2020-08-14 00:00:00,154000,2235.0,2020-08-24 18:33:57
GJT-049759,2020-08-14 00:00:00,154000,-82674.15,2020-08-24 18:33:57
GJT-049759,2020-08-14 00:00:00,154000,82674.15,2020-08-24 18:33:57
GJT-049685,2020-08-14 00:00:00,153000,-1595.0,2020-08-24 16:05:29
GJT-049685,2020-08-14 00:00:00,153000,1595.0,2020-08-24 16:05:29
GJT-049684,2020-08-14 00:00:00,153000,-1697.0,2020-08-24 16:05:29
GJT-049684,2020-08-14 00:00:00,153000,1697.0,2020-08-24 16:05:29
GJT-049409,2020-08-14 00:00:00,155000,5898.75,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,130000,2156.7,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,130000,1588.22,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,100062,-16862.39,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,531000,42.76,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510200,529.41,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510700,192.8,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,652500,23.7,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,1594.3,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,661.84,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,79.96,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,279.74,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,2156.7,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,122.89,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,110.08,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,92.45,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,74.48,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,71.96,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,6.99,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,621200,47.25,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,621200,27.22,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,621200,47.25,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,23.48,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,30.45,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,510950,132.04,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,531300,287.84,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,621200,186.73,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,604000,189.4,2020-08-18 14:07:00
GJT-049409,2020-08-14 00:00:00,675000,207.0,2020-08-18 14:07:00
GJT-049331,2020-08-14 00:00:00,200000,260.37,2020-08-18 11:30:36
GJT-049331,2020-08-14 00:00:00,100061,-260.37,2020-08-18 11:30:36
GJT-049330,2020-08-14 00:00:00,200000,1100.0,2020-08-18 11:30:36
GJT-049330,2020-08-14 00:00:00,100061,-1100.0,2020-08-18 11:30:36
GJT-049329,2020-08-14 00:00:00,200000,500.0,2020-08-18 11:30:36
GJT-049329,2020-08-14 00:00:00,100061,-500.0,2020-08-18 11:30:36
GJT-049328,2020-08-14 00:00:00,200000,204858.44,2020-08-18 11:30:36
GJT-049328,2020-08-14 00:00:00,100061,-204858.44,2020-08-18 11:30:36
GJT-049327,2020-08-14 00:00:00,200000,8763.76,2020-08-18 11:30:36
GJT-049327,2020-08-14 00:00:00,100061,-8763.76,2020-08-18 11:30:36
GJT-049326,2020-08-14 00:00:00,200000,1637.96,2020-08-18 11:30:36
GJT-049326,2020-08-14 00:00:00,100061,-1637.96,2020-08-18 11:30:36
GJT-049325,2020-08-14 00:00:00,200000,779.96,2020-08-18 11:30:36
GJT-049325,2020-08-14 00:00:00,100061,-779.96,2020-08-18 11:30:36
GJT-049324,2020-08-14 00:00:00,200000,1649.72,2020-08-18 11:30:36
GJT-049324,2020-08-14 00:00:00,100061,-1649.72,2020-08-18 11:30:36
GJT-049323,2020-08-14 00:00:00,200000,73.9,2020-08-18 11:30:36
GJT-049323,2020-08-14 00:00:00,100061,-73.9,2020-08-18 11:30:36
GJT-049322,2020-08-14 00:00:00,200000,228.92,2020-08-18 11:30:36
GJT-049322,2020-08-14 00:00:00,100061,-228.92,2020-08-18 11:30:36
GJT-049321,2020-08-14 00:00:00,200000,1439.05,2020-08-18 11:30:36
GJT-049321,2020-08-14 00:00:00,100061,-1439.05,2020-08-18 11:30:36
GJT-049320,2020-08-14 00:00:00,200000,294.55,2020-08-18 11:30:36
GJT-049320,2020-08-14 00:00:00,100061,-294.55,2020-08-18 11:30:36
GJT-049319,2020-08-14 00:00:00,200000,666.59,2020-08-18 11:30:36
GJT-049319,2020-08-14 00:00:00,100061,-666.59,2020-08-18 11:30:36
GJT-049318,2020-08-14 00:00:00,200000,39.48,2020-08-18 11:30:36
GJT-049318,2020-08-14 00:00:00,100061,-39.48,2020-08-18 11:30:36
GJT-049317,2020-08-14 00:00:00,200000,1048.64,2020-08-18 11:30:36
GJT-049317,2020-08-14 00:00:00,100061,-1048.64,2020-08-18 11:30:36
GJT-049316,2020-08-14 00:00:00,200000,673.38,2020-08-18 11:30:36
GJT-049316,2020-08-14 00:00:00,100061,-673.38,2020-08-18 11:30:36
GJT-049315,2020-08-14 00:00:00,200000,1110.66,2020-08-18 11:30:36
GJT-049315,2020-08-14 00:00:00,100061,-1110.66,2020-08-18 11:30:36
GJT-049314,2020-08-14 00:00:00,200000,-500.0,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,556000,166.6,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,16.67,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,16.67,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,50.01,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,33.34,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,33.34,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,16.67,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,16.67,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,33.34,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,33.34,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,33.34,2020-08-17 17:54:44
GJT-049314,2020-08-14 00:00:00,651400,50.01,2020-08-17 17:54:44
GJT-049313,2020-08-14 00:00:00,200000,-204858.44,2020-08-17 17:54:44
GJT-049313,2020-08-14 00:00:00,510400,204858.44,2020-08-17 17:54:44
GJT-049312,2020-08-14 00:00:00,200000,-8763.76,2020-08-17 17:54:44
GJT-049312,2020-08-14 00:00:00,510400,8763.76,2020-08-17 17:54:44
GJT-049311,2020-08-14 00:00:00,200000,-1100.0,2020-08-17 17:54:44
GJT-049311,2020-08-14 00:00:00,132000,1100.0,2020-08-17 17:54:44
GJT-049310,2020-08-14 00:00:00,200000,-228.92,2020-08-17 17:54:44
GJT-049310,2020-08-14 00:00:00,510400,114.46,2020-08-17 17:54:44
GJT-049310,2020-08-14 00:00:00,621100,114.46,2020-08-17 17:54:44
GJT-049309,2020-08-14 00:00:00,200000,-1439.05,2020-08-17 17:54:44
GJT-049309,2020-08-14 00:00:00,510400,719.53,2020-08-17 17:54:44
GJT-049309,2020-08-14 00:00:00,621100,719.52,2020-08-17 17:54:44
GJT-049308,2020-08-14 00:00:00,200000,-666.59,2020-08-17 17:54:44
GJT-049308,2020-08-14 00:00:00,621100,666.59,2020-08-17 17:54:44
GJT-049307,2020-08-14 00:00:00,200000,-39.48,2020-08-17 17:54:44
GJT-049307,2020-08-14 00:00:00,621100,39.48,2020-08-17 17:54:44
GJT-049306,2020-08-14 00:00:00,200000,-1048.64,2020-08-17 17:54:44
GJT-049306,2020-08-14 00:00:00,621100,1048.64,2020-08-17 17:54:44
GJT-049305,2020-08-14 00:00:00,200000,-673.38,2020-08-17 17:54:44
GJT-049305,2020-08-14 00:00:00,621100,673.38,2020-08-17 17:54:44
GJT-049304,2020-08-14 00:00:00,200000,-1110.66,2020-08-17 17:54:44
GJT-049304,2020-08-14 00:00:00,621100,1110.66,2020-08-17 17:54:44
GJT-049303,2020-08-14 00:00:00,200000,-294.55,2020-08-17 17:54:44
GJT-049303,2020-08-14 00:00:00,621400,294.55,2020-08-17 17:54:44
GJT-049302,2020-08-14 00:00:00,200000,-260.37,2020-08-17 17:54:44
GJT-049302,2020-08-14 00:00:00,621100,260.37,2020-08-17 17:54:44
GJT-049301,2020-08-14 00:00:00,200000,-1637.96,2020-08-17 17:54:44
GJT-049301,2020-08-14 00:00:00,621100,1637.96,2020-08-17 17:54:44
GJT-049300,2020-08-14 00:00:00,200000,-779.96,2020-08-17 17:54:44
GJT-049300,2020-08-14 00:00:00,621100,779.96,2020-08-17 17:54:44
GJT-049299,2020-08-14 00:00:00,200000,-1649.72,2020-08-17 17:54:44
GJT-049299,2020-08-14 00:00:00,621100,1649.72,2020-08-17 17:54:44
GJT-049298,2020-08-14 00:00:00,200000,-73.9,2020-08-17 17:54:43
GJT-049298,2020-08-14 00:00:00,621100,73.9,2020-08-17 17:54:43
GJT-049297,2020-08-14 00:00:00,200000,-82674.15,2020-08-17 17:51:38
GJT-049297,2020-08-14 00:00:00,154000,82674.15,2020-08-17 17:51:38
GJT-049296,2020-08-14 00:00:00,200000,-251.0,2020-08-17 17:51:38
GJT-049296,2020-08-14 00:00:00,675000,251.0,2020-08-17 17:51:38
GJT-049295,2020-08-14 00:00:00,200000,-377.0,2020-08-17 17:51:38
GJT-049295,2020-08-14 00:00:00,675000,377.0,2020-08-17 17:51:38
GJT-049294,2020-08-14 00:00:00,200000,-168.0,2020-08-17 17:51:38
GJT-049294,2020-08-14 00:00:00,675000,168.0,2020-08-17 17:51:38
GJT-049293,2020-08-14 00:00:00,200000,-2235.0,2020-08-17 17:51:38
GJT-049293,2020-08-14 00:00:00,154000,2235.0,2020-08-17 17:51:38
GJT-049292,2020-08-14 00:00:00,200000,-312.0,2020-08-17 17:51:38
GJT-049292,2020-08-14 00:00:00,531000,312.0,2020-08-17 17:51:38
GJT-049291,2020-08-14 00:00:00,200000,-358.0,2020-08-17 17:51:38
GJT-049291,2020-08-14 00:00:00,531000,358.0,2020-08-17 17:51:38
GJT-049290,2020-08-14 00:00:00,200000,-704.0,2020-08-17 17:51:38
GJT-049290,2020-08-14 00:00:00,531000,704.0,2020-08-17 17:51:38
GJT-049289,2020-08-14 00:00:00,200000,-1228.0,2020-08-17 17:51:38
GJT-049289,2020-08-14 00:00:00,154000,1228.0,2020-08-17 17:51:38
GJT-049288,2020-08-14 00:00:00,200000,-195.0,2020-08-17 17:51:38
GJT-049288,2020-08-14 00:00:00,675000,195.0,2020-08-17 17:51:38
GJT-049287,2020-08-14 00:00:00,200000,-158.0,2020-08-17 17:51:38
GJT-049287,2020-08-14 00:00:00,675000,158.0,2020-08-17 17:51:38
GJT-049286,2020-08-14 00:00:00,200000,-1697.0,2020-08-17 17:51:38
GJT-049286,2020-08-14 00:00:00,153000,1697.0,2020-08-17 17:51:38
GJT-049285,2020-08-14 00:00:00,200000,-225.0,2020-08-17 17:51:38
GJT-049285,2020-08-14 00:00:00,675000,225.0,2020-08-17 17:51:38
GJT-049284,2020-08-14 00:00:00,200000,-207.0,2020-08-17 17:51:38
GJT-049284,2020-08-14 00:00:00,675000,207.0,2020-08-17 17:51:38
GJT-049283,2020-08-14 00:00:00,200000,-318.0,2020-08-17 17:51:38
GJT-049283,2020-08-14 00:00:00,531000,318.0,2020-08-17 17:51:38
GJT-049282,2020-08-14 00:00:00,200000,-668.0,2020-08-17 17:51:38
GJT-049282,2020-08-14 00:00:00,150000,668.0,2020-08-17 17:51:38
GJT-049281,2020-08-14 00:00:00,200000,-1543.0,2020-08-17 17:51:38
GJT-049281,2020-08-14 00:00:00,154000,1543.0,2020-08-17 17:51:38
GJT-049280,2020-08-14 00:00:00,200000,-1573.0,2020-08-17 17:51:38
GJT-049280,2020-08-14 00:00:00,154000,1573.0,2020-08-17 17:51:38
GJT-049279,2020-08-14 00:00:00,200000,-1595.0,2020-08-17 17:51:38
GJT-049279,2020-08-14 00:00:00,153000,1595.0,2020-08-17 17:51:38
GJT-049278,2020-08-14 00:00:00,200000,-2470.0,2020-08-17 17:51:38
GJT-049278,2020-08-14 00:00:00,154000,2470.0,2020-08-17 17:51:38
GJT-049277,2020-08-14 00:00:00,200000,-1844.0,2020-08-17 17:51:38
GJT-049277,2020-08-14 00:00:00,154000,1844.0,2020-08-17 17:51:38
GJT-049276,2020-08-14 00:00:00,200000,-273.27,2020-08-17 17:51:38
GJT-049276,2020-08-14 00:00:00,621000,273.27,2020-08-17 17:51:38
GJT-049275,2020-08-14 00:00:00,200000,-2087.0,2020-08-17 17:51:38
GJT-049275,2020-08-14 00:00:00,510800,2087.0,2020-08-17 17:51:38
GJT-049274,2020-08-14 00:00:00,200000,-75.0,2020-08-17 17:51:38
GJT-049274,2020-08-14 00:00:00,510800,75.0,2020-08-17 17:51:38
GJT-049273,2020-08-14 00:00:00,200000,-4483.0,2020-08-17 17:51:38
GJT-049273,2020-08-14 00:00:00,510800,4483.0,2020-08-17 17:51:38
GJT-049272,2020-08-14 00:00:00,200000,-1884.0,2020-08-17 17:51:38
GJT-049272,2020-08-14 00:00:00,510800,1584.0,2020-08-17 17:51:38
GJT-049272,2020-08-14 00:00:00,510800,300.0,2020-08-17 17:51:38
GJT-049271,2020-08-14 00:00:00,200000,-626.0,2020-08-17 17:51:38
GJT-049271,2020-08-14 00:00:00,510800,626.0,2020-08-17 17:51:38
GJT-049270,2020-08-14 00:00:00,200000,-2590.0,2020-08-17 17:51:38
GJT-049270,2020-08-14 00:00:00,510800,2590.0,2020-08-17 17:51:38
GJT-049269,2020-08-14 00:00:00,200000,-3561.0,2020-08-17 17:51:38
GJT-049269,2020-08-14 00:00:00,510800,2911.0,2020-08-17 17:51:38
GJT-049269,2020-08-14 00:00:00,510800,650.0,2020-08-17 17:51:38
GJT-049268,2020-08-14 00:00:00,200000,-1081.0,2020-08-17 17:51:38
GJT-049268,2020-08-14 00:00:00,510800,1081.0,2020-08-17 17:51:38
GJT-049267,2020-08-14 00:00:00,200000,-5284.0,2020-08-17 17:51:38
GJT-049267,2020-08-14 00:00:00,510800,2444.0,2020-08-17 17:51:38
GJT-049267,2020-08-14 00:00:00,510800,300.0,2020-08-17 17:51:38
GJT-049267,2020-08-14 00:00:00,510800,2540.0,2020-08-17 17:51:38
GJT-049266,2020-08-14 00:00:00,200000,-578.0,2020-08-17 17:51:38
GJT-049266,2020-08-14 00:00:00,510800,578.0,2020-08-17 17:51:38
GJT-049265,2020-08-14 00:00:00,200000,-2361.0,2020-08-17 17:51:38
GJT-049265,2020-08-14 00:00:00,510800,2361.0,2020-08-17 17:51:38
GJT-049264,2020-08-14 00:00:00,200000,-1774.0,2020-08-17 17:51:38
GJT-049264,2020-08-14 00:00:00,510800,1774.0,2020-08-17 17:51:38
GJT-049263,2020-08-14 00:00:00,200000,-578.0,2020-08-17 17:51:38
GJT-049263,2020-08-14 00:00:00,510800,578.0,2020-08-17 17:51:38
GJT-049262,2020-08-14 00:00:00,200000,-2087.0,2020-08-17 17:51:37
GJT-049262,2020-08-14 00:00:00,510800,2087.0,2020-08-17 17:51:37
GJT-049261,2020-08-14 00:00:00,200000,-1095.0,2020-08-17 17:51:37
GJT-049261,2020-08-14 00:00:00,531000,1095.0,2020-08-17 17:51:37
GJT-049260,2020-08-14 00:00:00,200000,-600.0,2020-08-17 17:51:37
GJT-049260,2020-08-14 00:00:00,531000,600.0,2020-08-17 17:51:37
GJT-049259,2020-08-14 00:00:00,200000,-112.95,2020-08-17 16:34:43
GJT-049259,2020-08-14 00:00:00,510950,112.95,2020-08-17 16:34:43
GJT-049258,2020-08-14 00:00:00,200000,-14200.0,2020-08-17 16:34:43
GJT-049258,2020-08-14 00:00:00,662000,14200.0,2020-08-17 16:34:43
GJT-049257,2020-08-14 00:00:00,200000,-393.8,2020-08-17 16:34:43
GJT-049257,2020-08-14 00:00:00,675000,393.8,2020-08-17 16:34:43
GJT-049256,2020-08-14 00:00:00,200000,-374.49,2020-08-17 16:34:43
GJT-049256,2020-08-14 00:00:00,675000,374.49,2020-08-17 16:34:43
GJT-049255,2020-08-14 00:00:00,200000,-26.93,2020-08-17 16:34:43
GJT-049255,2020-08-14 00:00:00,510600,26.93,2020-08-17 16:34:43
GJT-049254,2020-08-14 00:00:00,200000,-777.1,2020-08-17 16:34:43
GJT-049254,2020-08-14 00:00:00,531000,777.1,2020-08-17 16:34:43
GJT-049253,2020-08-14 00:00:00,200000,-107.91,2020-08-17 16:34:43
GJT-049253,2020-08-14 00:00:00,510950,107.91,2020-08-17 16:34:43
GJT-049252,2020-08-14 00:00:00,200000,-384.98,2020-08-17 16:34:43
GJT-049252,2020-08-14 00:00:00,510950,384.98,2020-08-17 16:34:43
GJT-049251,2020-08-14 00:00:00,200000,-301.46,2020-08-17 16:34:43
GJT-049251,2020-08-14 00:00:00,510950,301.46,2020-08-17 16:34:43
GJT-049250,2020-08-14 00:00:00,200000,-21.29,2020-08-17 16:34:43
GJT-049250,2020-08-14 00:00:00,510950,21.29,2020-08-17 16:34:43
GJT-049249,2020-08-14 00:00:00,200000,-39.18,2020-08-17 16:34:43
